source,target,value
Adelaide,Alice Springs,3948063
Adelaide,Brisbane,14624602
Adelaide,Canberra,4265343
Adelaide,Darwin,1392514
Adelaide,Gold Coast,3557785
Adelaide,Melbourne,56364670
Adelaide,Perth,15849157
Adelaide,Port Lincoln,3047097
Adelaide,Sydney,43580725
Albury,Sydney,5540368
Alice Springs,Darwin,3236424
Alice Springs,Melbourne,622916
Alice Springs,Sydney,2748226
Armidale,Sydney,710419
Ayers Rock,Sydney,1558725
Ballina,Sydney,5767145
Brisbane,Cairns,31880841
Brisbane,Canberra,11870598
Brisbane,Darwin,7936757
Brisbane,Emerald,1802383
Brisbane,Gladstone,3061567
Brisbane,Hamilton Island,3374209
Brisbane,Hobart,2000488
Brisbane,Mackay,14480717
Brisbane,Melbourne,72179236
Brisbane,Moranbah,645076
Brisbane,Mount Isa,1023569
Brisbane,Newcastle,8622086
Brisbane,Perth,13692253
Brisbane,Proserpine,4785136
Brisbane,Rockhampton,13762169
Brisbane,Sydney,120177204
Brisbane,Townsville,23596791
Broome,Perth,6139010
Bundaberg,Brisbane,1089936
Cairns,Melbourne,10446199
Cairns,Sydney,23744674
Cairns,Townsville,3239650
Canberra,Melbourne,27798454
Canberra,Sydney,29418824
Coffs Harbour,Sydney,7596782
Darwin,Melbourne,3911824
Darwin,Perth,1861934
Darwin,Sydney,3972474
Devonport,Melbourne,2511576
Dubbo,Sydney,4700574
Geraldton,Perth,930523
Gold Coast,Sydney,57315769
Hamilton Island,Melbourne,412988
Hamilton Island,Sydney,2181787
Hervey Bay,Sydney,570210
Hobart,Melbourne,32249591
Hobart,Sydney,9440318
Kalgoorlie,Perth,6198234
Karratha,Perth,9923360
Launceston,Melbourne,21623231
Launceston,Sydney,4454972
Melbourne,Burnie,1704246
Melbourne,Gold Coast,34939852
Melbourne,Mildura,4379111
Melbourne,Newcastle,6663689
Melbourne,Perth,42997355
Melbourne,Sydney,202248225
Melbourne,Townsville,136092
Newcastle,Gold Coast,450226
Perth,Newman,3440050
Perth,Port Hedland,5197991
Perth,Sydney,37623766
Port Macquarie,Sydney,2287946
Proserpine,Sydney,294565
Sunshine Coast,Melbourne,7111571
Sunshine Coast,Sydney,10256855
Sydney,Tamworth,800594
Sydney,Townsville,3413444
Sydney,Wagga Wagga,4529904
