name,value,date
Adelaide,34737,2003-09-01
Adelaide,36888,2003-12-01
Adelaide,40168,2004-03-01
Adelaide,39296,2004-06-01
Adelaide,40681,2004-09-01
Adelaide,44944,2004-12-01
Adelaide,47266,2005-03-01
Adelaide,45844,2005-06-01
Adelaide,45179,2005-09-01
Adelaide,43642,2005-12-01
Adelaide,44173,2006-01-01
Adelaide,38904,2006-02-01
Adelaide,45444,2006-03-01
Adelaide,55685,2006-04-01
Adelaide,54906,2006-05-01
Adelaide,57424,2006-06-01
Adelaide,59557,2006-07-01
Adelaide,58384,2006-08-01
Adelaide,52103,2006-09-01
Adelaide,53587,2006-10-01
Adelaide,52376,2006-11-01
Adelaide,55281,2006-12-01
Adelaide,54345,2007-01-01
Adelaide,49879,2007-02-01
Adelaide,54541,2007-03-01
Adelaide,52839,2007-04-01
Adelaide,53315,2007-05-01
Adelaide,52180,2007-06-01
Adelaide,53852,2007-07-01
Adelaide,52395,2007-08-01
Adelaide,51030,2007-09-01
Adelaide,58832,2007-10-01
Adelaide,59725,2007-11-01
Adelaide,67331,2007-12-01
Adelaide,67429,2008-01-01
Adelaide,58982,2008-02-01
Adelaide,62502,2008-03-01
Adelaide,59520,2008-04-01
Adelaide,60699,2008-05-01
Adelaide,58858,2008-06-01
Adelaide,60362,2008-07-01
Adelaide,60302,2008-08-01
Adelaide,58745,2008-09-01
Adelaide,60392,2008-10-01
Adelaide,60834,2008-11-01
Adelaide,65467,2008-12-01
Adelaide,66786,2009-01-01
Adelaide,59437,2009-02-01
Adelaide,65533,2009-03-01
Adelaide,64176,2009-04-01
Adelaide,62510,2009-05-01
Adelaide,63286,2009-06-01
Adelaide,64087,2009-07-01
Adelaide,62291,2009-08-01
Adelaide,63824,2009-09-01
Adelaide,66917,2009-10-01
Adelaide,64878,2009-11-01
Adelaide,66230,2009-12-01
Adelaide,67405,2010-01-01
Adelaide,57622,2010-02-01
Adelaide,63894,2010-03-01
Adelaide,64460,2010-04-01
Adelaide,63558,2010-05-01
Adelaide,60377,2010-06-01
Adelaide,63134,2010-07-01
Adelaide,62003,2010-08-01
Adelaide,61228,2010-09-01
Adelaide,64015,2010-10-01
Adelaide,61501,2010-11-01
Adelaide,66117,2010-12-01
Adelaide,65189,2011-01-01
Adelaide,57788,2011-02-01
Adelaide,64765,2011-03-01
Adelaide,68311,2011-04-01
Adelaide,70160,2011-05-01
Adelaide,65449,2011-06-01
Adelaide,69523,2011-07-01
Adelaide,68336,2011-08-01
Adelaide,68001,2011-09-01
Adelaide,70783,2011-10-01
Adelaide,69528,2011-11-01
Adelaide,81686,2011-12-01
Adelaide,82412,2012-01-01
Adelaide,67767,2012-02-01
Adelaide,72700,2012-03-01
Adelaide,70621,2012-04-01
Adelaide,69371,2012-05-01
Adelaide,67805,2012-06-01
Adelaide,78641,2012-07-01
Adelaide,74767,2012-08-01
Adelaide,76501,2012-09-01
Adelaide,78288,2012-10-01
Adelaide,91550,2012-11-01
Adelaide,97117,2012-12-01
Adelaide,98021,2013-01-01
Adelaide,93410,2013-02-01
Adelaide,103430,2013-03-01
Adelaide,97224,2013-04-01
Adelaide,92739,2013-05-01
Adelaide,90263,2013-06-01
Adelaide,99599,2013-07-01
Adelaide,93316,2013-08-01
Adelaide,97418,2013-09-01
Adelaide,98012,2013-10-01
Adelaide,107542,2013-11-01
Adelaide,125948,2013-12-01
Adelaide,129758,2014-01-01
Adelaide,112404,2014-02-01
Adelaide,120859,2014-03-01
Adelaide,120160,2014-04-01
Adelaide,119286,2014-05-01
Adelaide,119130,2014-06-01
Adelaide,123129,2014-07-01
Adelaide,114945,2014-08-01
Adelaide,99682,2014-09-01
Adelaide,104793,2014-10-01
Adelaide,98105,2014-11-01
Adelaide,114949,2014-12-01
Adelaide,114231,2015-01-01
Adelaide,88079,2015-02-01
Adelaide,89603,2015-03-01
Adelaide,88888,2015-04-01
Adelaide,90617,2015-05-01
Adelaide,87733,2015-06-01
Adelaide,87681,2015-07-01
Adelaide,81587,2015-08-01
Adelaide,81395,2015-09-01
Adelaide,85946,2015-10-01
Adelaide,75785,2015-11-01
Adelaide,95404,2015-12-01
Adelaide,97611,2016-01-01
Adelaide,79767,2016-02-01
Adelaide,83911,2016-03-01
Adelaide,83587,2016-04-01
Adelaide,99741,2016-05-01
Adelaide,96440,2016-06-01
Adelaide,109281,2016-07-01
Adelaide,97164,2016-08-01
Adelaide,97625,2016-09-01
Adelaide,103955,2016-10-01
Adelaide,95335,2016-11-01
Adelaide,113152,2016-12-01
Adelaide,111498,2017-01-01
Adelaide,89404,2017-02-01
Adelaide,98415,2017-03-01
Adelaide,92697,2017-04-01
Adelaide,94080,2017-05-01
Adelaide,92745,2017-06-01
Adelaide,105921,2017-07-01
Adelaide,104293,2017-08-01
Adelaide,102667,2017-09-01
Adelaide,103709,2017-10-01
Adelaide,98660,2017-11-01
Adelaide,120485,2017-12-01
Adelaide,131459,2018-01-01
Adelaide,100223,2018-02-01
Adelaide,106058,2018-03-01
Adelaide,103535,2018-04-01
Adelaide,100455,2018-05-01
Adelaide,99540,2018-06-01
Adelaide,109407,2018-07-01
Adelaide,108528,2018-08-01
Adelaide,106394,2018-09-01
Adelaide,111921,2018-10-01
Adelaide,114165,2018-11-01
Adelaide,126662,2018-12-01
Adelaide,131776,2019-01-01
Adelaide,107792,2019-02-01
Adelaide,111582,2019-03-01
Adelaide,113193,2019-04-01
Adelaide,111304,2019-05-01
Adelaide,115176,2019-06-01
Adelaide,130434,2019-07-01
Adelaide,124996,2019-08-01
Adelaide,128548,2019-09-01
Adelaide,127292,2019-10-01
Adelaide,117696,2019-11-01
Adelaide,140764,2019-12-01
Adelaide,149688,2020-01-01
Adelaide,107884,2020-02-01
Adelaide,74731,2020-03-01
Adelaide,3795,2020-06-01
Adelaide,5705,2020-07-01
Adelaide,8921,2020-08-01
Adelaide,9653,2020-09-01
Adelaide,10456,2020-10-01
Adelaide,11763,2020-11-01
Adelaide,16668,2020-12-01
Adelaide,17811,2021-01-01
Adelaide,14924,2021-02-01
Adelaide,15986,2021-03-01
Adelaide,18481,2021-04-01
Adelaide,24537,2021-05-01
Adelaide,21627,2021-06-01
Adelaide,22047,2021-07-01
Adelaide,17983,2021-08-01
Adelaide,17680,2021-09-01
Adelaide,19677,2021-10-01
Adelaide,16758,2021-11-01
Adelaide,21045,2021-12-01
Adelaide,27623,2022-01-01
Adelaide,26255,2022-02-01
Adelaide,29887,2022-03-01
Adelaide,38586,2022-04-01
Adelaide,47077,2022-05-01
Adelaide,53267,2022-06-01
Adelaide,77478,2022-07-01
Adelaide,72168,2022-08-01
Adelaide,69459,2022-09-01
Brisbane,357197,2003-09-01
Brisbane,473466,2003-12-01
Brisbane,481915,2004-03-01
Brisbane,466655,2004-06-01
Brisbane,497580,2004-09-01
Brisbane,547158,2004-12-01
Brisbane,520080,2005-03-01
Brisbane,525868,2005-06-01
Brisbane,518099,2005-09-01
Brisbane,519485,2005-12-01
Brisbane,523853,2006-01-01
Brisbane,441266,2006-02-01
Brisbane,475706,2006-03-01
Brisbane,478145,2006-04-01
Brisbane,479482,2006-05-01
Brisbane,487058,2006-06-01
Brisbane,536862,2006-07-01
Brisbane,522932,2006-08-01
Brisbane,508554,2006-09-01
Brisbane,512422,2006-10-01
Brisbane,487253,2006-11-01
Brisbane,510966,2006-12-01
Brisbane,506024,2007-01-01
Brisbane,464239,2007-02-01
Brisbane,519109,2007-03-01
Brisbane,495683,2007-04-01
Brisbane,499339,2007-05-01
Brisbane,490510,2007-06-01
Brisbane,512234,2007-07-01
Brisbane,516172,2007-08-01
Brisbane,498299,2007-09-01
Brisbane,517639,2007-10-01
Brisbane,506095,2007-11-01
Brisbane,549991,2007-12-01
Brisbane,551076,2008-01-01
Brisbane,509971,2008-02-01
Brisbane,523381,2008-03-01
Brisbane,519222,2008-04-01
Brisbane,540199,2008-05-01
Brisbane,528950,2008-06-01
Brisbane,577160,2008-07-01
Brisbane,571162,2008-08-01
Brisbane,537027,2008-09-01
Brisbane,530952,2008-10-01
Brisbane,522846,2008-11-01
Brisbane,571830,2008-12-01
Brisbane,576673,2009-01-01
Brisbane,502461,2009-02-01
Brisbane,530488,2009-03-01
Brisbane,515700,2009-04-01
Brisbane,514492,2009-05-01
Brisbane,514126,2009-06-01
Brisbane,558131,2009-07-01
Brisbane,555453,2009-08-01
Brisbane,530776,2009-09-01
Brisbane,539592,2009-10-01
Brisbane,507726,2009-11-01
Brisbane,538711,2009-12-01
Brisbane,556584,2010-01-01
Brisbane,492711,2010-02-01
Brisbane,541092,2010-03-01
Brisbane,538272,2010-04-01
Brisbane,547303,2010-05-01
Brisbane,536471,2010-06-01
Brisbane,585012,2010-07-01
Brisbane,560521,2010-08-01
Brisbane,544593,2010-09-01
Brisbane,535446,2010-10-01
Brisbane,515952,2010-11-01
Brisbane,557074,2010-12-01
Brisbane,585700,2011-01-01
Brisbane,510211,2011-02-01
Brisbane,550104,2011-03-01
Brisbane,548731,2011-04-01
Brisbane,569706,2011-05-01
Brisbane,533853,2011-06-01
Brisbane,599439,2011-07-01
Brisbane,591451,2011-08-01
Brisbane,568915,2011-09-01
Brisbane,587230,2011-10-01
Brisbane,549166,2011-11-01
Brisbane,589074,2011-12-01
Brisbane,594825,2012-01-01
Brisbane,520120,2012-02-01
Brisbane,545161,2012-03-01
Brisbane,556295,2012-04-01
Brisbane,530421,2012-05-01
Brisbane,547262,2012-06-01
Brisbane,595690,2012-07-01
Brisbane,577789,2012-08-01
Brisbane,558868,2012-09-01
Brisbane,562786,2012-10-01
Brisbane,532309,2012-11-01
Brisbane,580592,2012-12-01
Brisbane,584132,2013-01-01
Brisbane,531558,2013-02-01
Brisbane,584096,2013-03-01
Brisbane,563479,2013-04-01
Brisbane,561143,2013-05-01
Brisbane,571720,2013-06-01
Brisbane,614934,2013-07-01
Brisbane,608939,2013-08-01
Brisbane,592817,2013-09-01
Brisbane,612838,2013-10-01
Brisbane,582337,2013-11-01
Brisbane,639078,2013-12-01
Brisbane,642629,2014-01-01
Brisbane,556517,2014-02-01
Brisbane,605599,2014-03-01
Brisbane,607629,2014-04-01
Brisbane,595977,2014-05-01
Brisbane,599397,2014-06-01
Brisbane,651017,2014-07-01
Brisbane,639699,2014-08-01
Brisbane,618828,2014-09-01
Brisbane,610642,2014-10-01
Brisbane,589734,2014-11-01
Brisbane,660916,2014-12-01
Brisbane,668615,2015-01-01
Brisbane,583540,2015-02-01
Brisbane,622364,2015-03-01
Brisbane,615185,2015-04-01
Brisbane,606110,2015-05-01
Brisbane,581554,2015-06-01
Brisbane,625697,2015-07-01
Brisbane,622822,2015-08-01
Brisbane,603302,2015-09-01
Brisbane,613005,2015-10-01
Brisbane,568979,2015-11-01
Brisbane,665116,2015-12-01
Brisbane,681365,2016-01-01
Brisbane,588523,2016-02-01
Brisbane,608375,2016-03-01
Brisbane,594205,2016-04-01
Brisbane,578903,2016-05-01
Brisbane,584363,2016-06-01
Brisbane,639936,2016-07-01
Brisbane,616714,2016-08-01
Brisbane,610476,2016-09-01
Brisbane,652306,2016-10-01
Brisbane,614844,2016-11-01
Brisbane,687314,2016-12-01
Brisbane,699825,2017-01-01
Brisbane,598390,2017-02-01
Brisbane,650341,2017-03-01
Brisbane,670198,2017-04-01
Brisbane,650935,2017-05-01
Brisbane,650406,2017-06-01
Brisbane,690523,2017-07-01
Brisbane,684567,2017-08-01
Brisbane,676260,2017-09-01
Brisbane,691900,2017-10-01
Brisbane,655150,2017-11-01
Brisbane,756279,2017-12-01
Brisbane,767758,2018-01-01
Brisbane,667603,2018-02-01
Brisbane,714864,2018-03-01
Brisbane,705285,2018-04-01
Brisbane,698825,2018-05-01
Brisbane,690743,2018-06-01
Brisbane,746252,2018-07-01
Brisbane,735608,2018-08-01
Brisbane,708805,2018-09-01
Brisbane,723423,2018-10-01
Brisbane,685845,2018-11-01
Brisbane,766834,2018-12-01
Brisbane,784595,2019-01-01
Brisbane,670415,2019-02-01
Brisbane,717078,2019-03-01
Brisbane,704612,2019-04-01
Brisbane,676203,2019-05-01
Brisbane,690203,2019-06-01
Brisbane,765516,2019-07-01
Brisbane,763465,2019-08-01
Brisbane,735614,2019-09-01
Brisbane,747664,2019-10-01
Brisbane,708508,2019-11-01
Brisbane,798420,2019-12-01
Brisbane,814687,2020-01-01
Brisbane,667254,2020-02-01
Brisbane,475301,2020-03-01
Brisbane,37431,2020-04-01
Brisbane,22397,2020-05-01
Brisbane,31554,2020-06-01
Brisbane,39597,2020-07-01
Brisbane,46212,2020-08-01
Brisbane,42547,2020-09-01
Brisbane,56654,2020-10-01
Brisbane,50576,2020-11-01
Brisbane,59855,2020-12-01
Brisbane,54718,2021-01-01
Brisbane,50477,2021-02-01
Brisbane,50354,2021-03-01
Brisbane,80403,2021-04-01
Brisbane,133453,2021-05-01
Brisbane,132971,2021-06-01
Brisbane,135909,2021-07-01
Brisbane,79348,2021-08-01
Brisbane,76342,2021-09-01
Brisbane,79528,2021-10-01
Brisbane,82122,2021-11-01
Brisbane,89329,2021-12-01
Brisbane,90639,2022-01-01
Brisbane,100656,2022-02-01
Brisbane,146056,2022-03-01
Brisbane,202506,2022-04-01
Brisbane,231501,2022-05-01
Brisbane,253495,2022-06-01
Brisbane,328553,2022-07-01
Brisbane,333998,2022-08-01
Brisbane,338890,2022-09-01
Cairns,103856,2003-09-01
Cairns,113050,2003-12-01
Cairns,113134,2004-03-01
Cairns,110326,2004-06-01
Cairns,112148,2004-09-01
Cairns,115650,2004-12-01
Cairns,115956,2005-03-01
Cairns,112338,2005-06-01
Cairns,117678,2005-09-01
Cairns,119550,2005-12-01
Cairns,124816,2006-01-01
Cairns,109554,2006-02-01
Cairns,121334,2006-03-01
Cairns,112171,2006-04-01
Cairns,112877,2006-05-01
Cairns,105673,2006-06-01
Cairns,103959,2006-07-01
Cairns,99999,2006-08-01
Cairns,95270,2006-09-01
Cairns,95410,2006-10-01
Cairns,93129,2006-11-01
Cairns,98673,2006-12-01
Cairns,106013,2007-01-01
Cairns,97341,2007-02-01
Cairns,103513,2007-03-01
Cairns,92300,2007-04-01
Cairns,98253,2007-05-01
Cairns,96327,2007-06-01
Cairns,100583,2007-07-01
Cairns,103113,2007-08-01
Cairns,100421,2007-09-01
Cairns,101281,2007-10-01
Cairns,95395,2007-11-01
Cairns,95558,2007-12-01
Cairns,98578,2008-01-01
Cairns,92926,2008-02-01
Cairns,96986,2008-03-01
Cairns,94360,2008-04-01
Cairns,95260,2008-05-01
Cairns,91267,2008-06-01
Cairns,99663,2008-07-01
Cairns,100969,2008-08-01
Cairns,94772,2008-09-01
Cairns,103683,2008-10-01
Cairns,96634,2008-11-01
Cairns,81179,2008-12-01
Cairns,63588,2009-01-01
Cairns,55718,2009-02-01
Cairns,64554,2009-03-01
Cairns,63782,2009-04-01
Cairns,65265,2009-05-01
Cairns,63920,2009-06-01
Cairns,67782,2009-07-01
Cairns,68044,2009-08-01
Cairns,66030,2009-09-01
Cairns,67014,2009-10-01
Cairns,62229,2009-11-01
Cairns,65170,2009-12-01
Cairns,65562,2010-01-01
Cairns,62039,2010-02-01
Cairns,69068,2010-03-01
Cairns,74982,2010-04-01
Cairns,75318,2010-05-01
Cairns,73853,2010-06-01
Cairns,88495,2010-07-01
Cairns,86525,2010-08-01
Cairns,82035,2010-09-01
Cairns,81759,2010-10-01
Cairns,80895,2010-11-01
Cairns,85953,2010-12-01
Cairns,86770,2011-01-01
Cairns,71215,2011-02-01
Cairns,88596,2011-03-01
Cairns,90366,2011-04-01
Cairns,86475,2011-05-01
Cairns,81917,2011-06-01
Cairns,91883,2011-07-01
Cairns,93041,2011-08-01
Cairns,87669,2011-09-01
Cairns,85937,2011-10-01
Cairns,76707,2011-11-01
Cairns,80423,2011-12-01
Cairns,80177,2012-01-01
Cairns,76167,2012-02-01
Cairns,78699,2012-03-01
Cairns,74373,2012-04-01
Cairns,73172,2012-05-01
Cairns,69547,2012-06-01
Cairns,78514,2012-07-01
Cairns,86019,2012-08-01
Cairns,79329,2012-09-01
Cairns,78477,2012-10-01
Cairns,72901,2012-11-01
Cairns,75736,2012-12-01
Cairns,73241,2013-01-01
Cairns,72444,2013-02-01
Cairns,72985,2013-03-01
Cairns,70544,2013-04-01
Cairns,71020,2013-05-01
Cairns,70131,2013-06-01
