airport,city,country,continent,iata
Touat-Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,Northern Africa,AZR
Houari Boumediene Airport,Algiers,Algeria,Northern Africa,ALG
Rabah Bitat Airport,Annaba,Algeria,Northern Africa,AAE
Batna Airport,Batna,Algeria,Northern Africa,BLJ
Soummam Airport,Béjaïa,Algeria,Northern Africa,BJA
Biskra Airport,Oumache,Algeria,Northern Africa,BSK
Chlef International Airport,Chlef,Algeria,Northern Africa,CFK
Mohamed Boudiaf International Airport,Constantine,Algeria,Northern Africa,CZL
Oued Irara Airport,Hassi Messaoud,Algeria,Northern Africa,HME
Jijel Ferhat Abbas Airport,Jijel,Algeria,Northern Africa,GJL
Oran Es Senia Airport,Oran,Algeria,Northern Africa,ORN
Ain Arnat Airport,Sétif,Algeria,Northern Africa,QSF
Tamanrasset Airport,Tamanrasset,Algeria,Northern Africa,TMR
Zenata – Messali El Hadj Airport,Tlemcen,Algeria,Northern Africa,TLM
Borg El Arab Airport,Alexandria,Egypt,Northern Africa,HBE
Assiut Airport,Asyut,Egypt,Northern Africa,ATZ
Aswan International Airport,Aswan,Egypt,Northern Africa,ASW
Cairo International Airport,Cairo,Egypt,Northern Africa,CAI
Sphinx International Airport,Sphinx,Egypt,Northern Africa,SPX
El Arish International Airport,El Arish,Egypt,Northern Africa,AAC
El Alamein International Airport,El Dabaa,Egypt,Northern Africa,DBB
Hurghada International Airport,Hurghada,Egypt,Northern Africa,HRG
Luxor International Airport,Luxor,Egypt,Northern Africa,LXR
Marsa Alam International Airport,Marsa Alam,Egypt,Northern Africa,RMF
Mersa Matruh International Airport,Mersa Matruh,Egypt,Northern Africa,MUH
St. Catherine International Airport,Saint Catherine,Egypt,Northern Africa,SKV
Sharm El Sheikh International Airport,Sharm El Sheikh,Egypt,Northern Africa,SSH
Sohag International Airport,Sohag,Egypt,Northern Africa,HMB
Taba International Airport,Taba,Egypt,Northern Africa,TCP
Benina International Airport,Benghazi,Libya,Northern Africa,BEN
Sabha Airport,Sabha,Libya,Northern Africa,SEB
Tripoli International Airport,Tripoli,Libya,Northern Africa,TIP
Mitiga International Airport,Tajoura,Libya,Northern Africa,MJI
Agadir–Al Massira Airport,Agadir,Morocco,Northern Africa,AGA
Mohammed V International Airport,Casablanca,Morocco,Northern Africa,CMN
Fès–Saïs Airport,Fes,Morocco,Northern Africa,FEZ
Marrakesh Menara Airport,Marrakech,Morocco,Northern Africa,RAK
Nador International Airport,Nador,Morocco,Northern Africa,NDR
Angads Airport,Oujda,Morocco,Northern Africa,OUD
Rabat–Salé Airport,Rabat,Morocco,Northern Africa,RBA
Tangier Ibn Battouta Airport,Tangier,Morocco,Northern Africa,TNG
Sania Ramel Airport,Tetouan,Morocco,Northern Africa,TTU
Dakhla Airport,Dakhla,Morocco,Northern Africa,VIL
Hassan I Airport,Laayoune,Morocco,Northern Africa,EUN
Khartoum International Airport,Khartoum,Sudan,Northern Africa,KRT
Port Sudan New International Airport,Port Sudan,Sudan,Northern Africa,PZU
Djerba–Zarzis International Airport,Djerba,Tunisia,Northern Africa,DJE
Enfidha–Hammamet International Airport,Enfidha,Tunisia,Northern Africa,NBE
Monastir Habib Bourguiba International Airport,Monastir,Tunisia,Northern Africa,MIR
Sfax–Thyna International Airport,Sfax,Tunisia,Northern Africa,SFA
Tabarka–Aïn Draham International Airport,Tabarka,Tunisia,Northern Africa,TBJ
Tozeur–Nefta International Airport,Tozeur,Tunisia,Northern Africa,TOE
Tunis–Carthage International Airport,Tunis,Tunisia,Northern Africa,TUN
Cadjehoun Airport,Cotonou,Benin,Western Africa,COO
Bobo Dioulasso Airport,Bobo-Dioulasso,Burkina Faso,Western Africa,BOY
Thomas Sankara International Airport Ouagadougou,Ouagadougou,Burkina Faso,Western Africa,OUA
Aristides Pereira International Airport,Boa Vista,Cape Verde,Western Africa,BVC
Amílcar Cabral International Airport,Sal Island,Cape Verde,Western Africa,SID
 Santiago Island,Praia,Cape Verde,Western Africa,Nelson Mandela International Airport
Cesária Évora Airport,São Vicente,Cape Verde,Western Africa,VXE
Félix-Houphouët-Boigny International Airport,Abidjan,Côte d'Ivoire,Western Africa,ABJ
Banjul International Airport,Banjul,The Gambia,Western Africa,BJL
Kotoka International Airport,Accra,Ghana,Western Africa,ACC
Kumasi International Airport,Kumasi,Ghana,Western Africa,KMS
Takoradi Airport,Takoradi,Ghana,Western Africa,TKD
Sunyani Airport,Sunyani,Ghana,Western Africa,NYI
Ho Airport,Ho,Ghana,Western Africa,HZO
Wa Airport,Wa,Ghana,Western Africa,WZA
Tamale Airport,Tamale,Ghana,Western Africa,TML
Conakry International Airport,Conakry,Guinea,Western Africa,CKY
Osvaldo Vieira International Airport,Bissau,Guinea-Bissau,Western Africa,OXB
Roberts International Airport,Monrovia,Liberia,Western Africa,ROB
Modibo Keita International Airport,Bamako,Mali,Western Africa,BKO
Nouakchott–Oumtounsy International Airport,Nouakchott,Mauritania,Western Africa,NKC
Nouadhibou International Airport,Nouadhibou,Mauritania,Western Africa,NDB
Atar International Airport,Atar,Mauritania,Western Africa,ATR
Diori Hamani International Airport,Niamey,Niger,Western Africa,NIM
Nnamdi Azikiwe International Airport,Abuja,Nigeria,Western Africa,ABV
