name,number_of_routes
Ryanair,2484
American Airlines,2354
United Airlines,2180
Delta Air Lines,1981
US Airways,1960
China Southern Airlines,1454
China Eastern Airlines,1263
Air China,1260
Southwest Airlines,1146
easyJet,1130
Air France,1071
Lufthansa,923
Alitalia,877
Iberia Airlines,831
KLM Royal Dutch Airlines,830
Shenzhen Airlines,815
Air Berlin,798
AirTran Airways,726
Air Canada,705
Turkish Airlines,658
Norwegian Air Shuttle,576
Hainan Airlines,555
British Airways,549
All Nippon Airways,547
Alaska Airlines,530
Scandinavian Airlines System,504
Transavia France,488
Aeroflot Russian Airlines,473
Germanwings,470
Wizz Air,463
Qantas,432
AeroMéxico,431
JetBlue Airways,399
Azul,397
Air India Limited,393
Sichuan Airlines,392
Japan Airlines,388
Xiamen Airlines,386
Formosa Airlines,384
Saudi Arabian Airlines,383
Allegiant Air,378
Air Foyle,358
WestJet,341
Ethiopian Airlines,337
Malaysia Airlines,336
Condor Flugdienst,334
TAM Brazilian Airlines,333
City Connexion Airlines,332
Finnair,328
Shandong Airlines,314
Jet2.com,302
Transaero Airlines,300
Jet Airways,292
Korean Air,292
Virgin Australia,290
Swiss International Air Lines,290
Emirates,289
Avianca - Aerovias Nacionales de Colombia,286
LAN Airlines,285
S7 Airlines,281
Qatar Airways,278
Flybe,268
Asiana Airlines,262
Lion Mentari Airlines,251
Garuda Indonesia,248
Pegasus Airlines,242
Pakistan International Airlines,242
Spirit Airlines,242
Austrian Airlines,240
Royal Air Maroc,240
Air Algerie,234
Air New Zealand,233
Transavia Holland,233
Ural Airlines,232
TAP Portugal,229
Etihad Airways,228
IndiGo Airlines,227
TUIfly,226
Aer Lingus,226
Era Alaska,224
Aegean Airlines,222
Frontier Airlines,222
Japan Air System,214
Cathay Pacific,213
Singapore Airlines,212
Vietnam Airlines,211
Air Bourbon,210
Widerøe,210
Egyptair,205
South African Airways,202
Volaris,197
Spicejet,196
Virgin Atlantic Airways,195
Thai Airways International,193
Shanghai Airlines,193
Brussels Airlines,190
Iran Air,186
Copa Airlines,184
Cebu Pacific,184
Iran Aseman Airlines,183
Air Sahara,180
AirAsia,180
Meridiana,173
China Airlines,172
Jetstar Airways,163
Air Europa,158
China SSS,155
Aerolineas Argentinas,154
Uzbekistan Airways,151
Tunisair,151
Airlinair,150
Fly Dubai,148
Juneyao Airlines,145
Philippine Airlines,144
Kenya Airways,142
Thomsonfly,139
Air Transat,138
VOLOTEA Airways,136
Air Arabia,130
Cargo Plus Aviation,130
Ukraine International Airlines,127
Air Greenland,126
Thomas Cook Airlines,125
Royal Jordanian,122
LOT Polish Airlines,120
EVA Air,118
Air Astana,118
Interjet (ABC Aerolineas),114
Air Baltic,112
Croatia Airlines,112
Niki,111
Czech Airlines,111
Olympic Airlines,110
Luxair,110
Nas Air,110
Potomac Air,106
Sriwijaya Air,106
Oceanair,104
Birmingham European,102
SunExpress,99
Oman Air,98
China United,98
Air Niugini,97
Air Tahiti,97
Dragonair,96
Yemenia,96
Germania,96
Huaxia,94
SilkAir,93
SriLankan Airlines,93
Air Vanuatu,92
Tarom,92
Thai AirAsia,92
TransAsia Airways,92
West Air China,90
Air One,88
Harmony Airways,88
Regional Express,88
Aircompany Yakutia,87
Cape Air,86
Air Malta,84
